"downloaded","item_id","item_definition","category","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
2022-09-12,1,"baa baa","sounds",0.47,0.52,0.56,0.67,0.71,0.7,0.68,0.78,0.78,0.8,0.8,0.84,0.89,0.8,0.82
2022-09-12,2,"choo choo","sounds",0.21,0.32,0.39,0.52,0.58,0.6,0.65,0.7,0.76,0.84,0.81,0.85,0.92,0.85,0.89
2022-09-12,3,"cockadoodledoo","sounds",0.12,0.11,0.15,0.23,0.25,0.31,0.34,0.37,0.44,0.48,0.5,0.54,0.71,0.54,0.6
2022-09-12,4,"grrr","sounds",0.48,0.49,0.55,0.64,0.65,0.67,0.65,0.74,0.77,0.78,0.76,0.8,0.9,0.79,0.82
2022-09-12,5,"meow","sounds",0.41,0.48,0.56,0.68,0.71,0.78,0.77,0.81,0.86,0.89,0.88,0.92,0.96,0.91,0.93
2022-09-12,6,"moo","sounds",0.5,0.52,0.62,0.75,0.76,0.78,0.79,0.85,0.88,0.88,0.88,0.92,0.95,0.92,0.93
2022-09-12,7,"ouch","sounds",0.34,0.41,0.51,0.61,0.64,0.67,0.7,0.77,0.78,0.86,0.82,0.83,0.93,0.86,0.88
2022-09-12,8,"quack quack","sounds",0.4,0.39,0.49,0.6,0.61,0.7,0.67,0.77,0.79,0.83,0.84,0.85,0.93,0.85,0.9
2022-09-12,9,"uh oh","sounds",0.71,0.68,0.78,0.87,0.87,0.89,0.88,0.88,0.9,0.93,0.9,0.93,0.97,0.91,0.89
2022-09-12,10,"vroom","sounds",0.38,0.4,0.51,0.57,0.57,0.61,0.6,0.69,0.7,0.75,0.71,0.7,0.86,0.72,0.74
2022-09-12,11,"woof woof","sounds",0.46,0.57,0.63,0.74,0.73,0.77,0.77,0.79,0.84,0.88,0.85,0.9,0.94,0.89,0.9
2022-09-12,12,"yum yum","sounds",0.4,0.45,0.56,0.59,0.59,0.63,0.56,0.68,0.74,0.74,0.75,0.74,0.86,0.8,0.81
2022-09-12,13,"alligator","animals",0.02,0.04,0.06,0.13,0.14,0.19,0.22,0.3,0.4,0.47,0.5,0.52,0.74,0.66,0.7
2022-09-12,14,"animal","animals",0.03,0.07,0.11,0.2,0.21,0.28,0.33,0.44,0.5,0.56,0.58,0.61,0.78,0.71,0.73
2022-09-12,15,"ant","animals",0.04,0.06,0.1,0.18,0.21,0.23,0.26,0.37,0.43,0.49,0.51,0.54,0.74,0.63,0.66
2022-09-12,16,"bear","animals",0.23,0.29,0.37,0.51,0.55,0.57,0.6,0.66,0.74,0.78,0.79,0.84,0.91,0.86,0.85
2022-09-12,17,"bee","animals",0.13,0.23,0.28,0.4,0.44,0.5,0.5,0.64,0.68,0.72,0.71,0.74,0.89,0.82,0.83
2022-09-12,18,"bird","animals",0.32,0.42,0.5,0.63,0.65,0.71,0.7,0.77,0.81,0.89,0.89,0.89,0.95,0.9,0.9
